species,genomes,superkingdom,doubling_h,growth_tmp,Representative.genome
Halogeometricum borinquense,RS_GCF_004150395.1,Archaea,1.71,49,RS_GCF_000172995.2
Halogeometricum borinquense,GB_GCA_011765365.1,Archaea,1.71,49,RS_GCF_000172995.2
Haloquadratum walsbyi_A,GB_GCA_000415965.1,Archaea,24,37,GB_GCA_000415965.1
Haloquadratum walsbyi_A,GB_GCA_028275045.1,Archaea,24,37,GB_GCA_000415965.1
Halorubrum lacusprofundi,RS_GCF_000022205.1,Archaea,25.71,34.8,RS_GCF_000022205.1
Halorubrum lacusprofundi,RS_GCF_002215285.1,Archaea,25.71,34.8,RS_GCF_000022205.1
Halorubrum lacusprofundi,RS_GCF_002215305.1,Archaea,25.71,34.8,RS_GCF_000022205.1
Halorubrum lacusprofundi,RS_GCF_021965275.1,Archaea,25.71,34.8,RS_GCF_000022205.1
Halorubrum saccharovorum,RS_GCF_000337915.1,Archaea,3.03,45,RS_GCF_000337915.1
Haloterrigena turkmenica,RS_GCF_000025325.1,Archaea,1.5,51,RS_GCF_000025325.1
Hyperthermus butylicus,RS_GCF_000015145.1,Archaea,2,107,RS_GCF_000015145.1
Metallosphaera hakonensis,RS_GCF_001315825.1,Archaea,13.84,70.1,RS_GCF_003201675.2
Metallosphaera hakonensis,RS_GCF_003201675.2,Archaea,13.84,70.1,RS_GCF_003201675.2
Metallosphaera sedula,GB_GCA_024239095.1,Archaea,5.25,75.2,GB_GCA_000016605.1
Metallosphaera sedula,RS_GCF_026627265.1,Archaea,5.25,75.2,GB_GCA_000016605.1
Metallosphaera sedula,RS_GCF_005222525.1,Archaea,5.25,75.2,GB_GCA_000016605.1
Metallosphaera sedula,GB_GCA_002509145.1,Archaea,5.25,75.2,GB_GCA_000016605.1
Metallosphaera sedula,RS_GCF_001266675.1,Archaea,5.25,75.2,GB_GCA_000016605.1
Metallosphaera sedula,GB_GCA_000016605.1,Archaea,5.25,75.2,GB_GCA_000016605.1
Methanobacterium subterraneum,GB_GCA_002507095.1,Archaea,3.89,NA,RS_GCF_002813695.1
Methanobacterium subterraneum,RS_GCF_020854955.1,Archaea,3.89,NA,RS_GCF_002813695.1
Methanobacterium subterraneum,RS_GCF_002813695.1,Archaea,3.89,NA,RS_GCF_002813695.1
Methanobacterium subterraneum,GB_GCA_002503345.1,Archaea,3.89,NA,RS_GCF_002813695.1
Methanobacterium subterraneum,GB_GCA_018263095.1,Archaea,3.89,NA,RS_GCF_002813695.1
Methanobacterium_B lacus,RS_GCF_000191585.1,Archaea,22,NA,RS_GCF_000191585.1
Methanobacterium_C congolense,GB_GCA_002505725.1,Archaea,7.5,NA,RS_GCF_900095295.1
Methanobacterium_C congolense,GB_GCA_937893005.1,Archaea,7.5,NA,RS_GCF_900095295.1
Methanobacterium_C congolense,RS_GCF_900095295.1,Archaea,7.5,NA,RS_GCF_900095295.1
Methanobacterium_C paludis,RS_GCF_000214725.1,Archaea,35,34.5,RS_GCF_000214725.1
Methanobacterium_D bryantii,RS_GCF_001729285.1,Archaea,19.25,NA,RS_GCF_002287175.1
Methanobacterium_D bryantii,RS_GCF_002287175.1,Archaea,19.25,NA,RS_GCF_002287175.1
Methanobacterium_D veterum,RS_GCF_000745485.1,Archaea,19.86,NA,RS_GCF_000745485.1
Methanobacterium_D veterum,RS_GCF_000746075.1,Archaea,19.86,NA,RS_GCF_000745485.1
Methanobacterium_D veterum,RS_GCF_027110435.1,Archaea,19.86,NA,RS_GCF_000745485.1
Methanobacterium_D veterum,RS_GCF_027110455.1,Archaea,19.86,NA,RS_GCF_000745485.1
Methanobrevibacter_A oralis,RS_GCF_900289035.1,Archaea,15,NA,RS_GCF_001639275.1
Methanobrevibacter_A oralis,RS_GCF_001639275.1,Archaea,15,NA,RS_GCF_001639275.1
Methanobrevibacter_A oralis,RS_GCF_912073625.1,Archaea,15,NA,RS_GCF_001639275.1
Methanobrevibacter_A oralis,RS_GCF_902384065.1,Archaea,15,NA,RS_GCF_001639275.1
Methanobrevibacter_A oralis,RS_GCF_000529525.1,Archaea,15,NA,RS_GCF_001639275.1
Methanobrevibacter_C arboriphilus,RS_GCF_001316345.1,Archaea,13,NA,RS_GCF_002072215.1
Methanobrevibacter_C arboriphilus,RS_GCF_002072215.1,Archaea,13,NA,RS_GCF_002072215.1
Methanobrevibacter_C cuticularis,RS_GCF_001639285.1,Archaea,35,NA,RS_GCF_001639285.1
Methanobrevibacter_D curvatus,RS_GCF_001639295.1,Archaea,40,NA,RS_GCF_001639295.1
Methanocaldococcus fervens,RS_GCF_000023985.1,Archaea,0.33,NA,RS_GCF_000023985.1
Methanocaldococcus jannaschii,GB_GCA_013329685.1,Archaea,0.433,NA,RS_GCF_000091665.1
Methanocaldococcus jannaschii,RS_GCF_000091665.1,Archaea,0.433,NA,RS_GCF_000091665.1
