species,genomes,superkingdom,doubling_h,growth_tmp,Representative.genome
Methanomethylovorans hollandica,GB_GCA_002503365.1,Archaea,11.5,NA,RS_GCF_000328665.1
Methanomethylovorans hollandica,GB_GCA_002508385.1,Archaea,11.5,NA,RS_GCF_000328665.1
Methanomethylovorans hollandica,RS_GCF_000328665.1,Archaea,11.5,NA,RS_GCF_000328665.1
Methanoplanus limicola,RS_GCF_000243255.1,Archaea,7,NA,RS_GCF_000243255.1
Methanopyrus kandleri,RS_GCF_000007185.1,Archaea,0.33,NA,RS_GCF_000007185.1
Methanopyrus kandleri,RS_GCF_013329715.1,Archaea,0.33,NA,RS_GCF_000007185.1
Methanoregula boonei,RS_GCF_000017625.1,Archaea,44,NA,RS_GCF_000017625.1
Methanoregula formicica,RS_GCF_000327485.1,Archaea,16.6,NA,RS_GCF_000327485.1
Methanosalsum zhilinae,RS_GCF_000217995.1,Archaea,5.8,NA,RS_GCF_000217995.1
Methanosarcina acetivorans,RS_GCF_000007345.1,Archaea,5.2,NA,RS_GCF_000007345.1
Methanosarcina acetivorans,RS_GCF_013329655.1,Archaea,5.2,NA,RS_GCF_000007345.1
Methanosarcina barkeri,RS_GCF_001027005.1,Archaea,5.95,NA,RS_GCF_000970025.1
Methanosarcina barkeri,RS_GCF_000970065.1,Archaea,5.95,NA,RS_GCF_000970025.1
Methanosarcina barkeri,RS_GCF_001729375.1,Archaea,5.95,NA,RS_GCF_000970025.1
Methanosarcina barkeri,RS_GCF_001316305.1,Archaea,5.95,NA,RS_GCF_000970025.1
Methanosarcina barkeri,RS_GCF_000970025.1,Archaea,5.95,NA,RS_GCF_000970025.1
Methanosarcina flavescens,GB_GCA_012519275.1,Archaea,9.7,NA,RS_GCF_001304615.2
Methanosarcina flavescens,RS_GCF_001304615.2,Archaea,9.7,NA,RS_GCF_001304615.2
Methanosarcina horonobensis,RS_GCF_000970285.1,Archaea,4.95,NA,RS_GCF_000970285.1
Methanosarcina horonobensis,RS_GCF_001316205.1,Archaea,4.95,NA,RS_GCF_000970285.1
Methanosarcina lacustris,RS_GCF_000970265.1,Archaea,49.45,NA,RS_GCF_000970265.1
Methanosarcina mazei,RS_GCF_000979115.1,Archaea,5.33,NA,RS_GCF_000970205.1
Methanosarcina mazei,RS_GCF_019669945.1,Archaea,5.33,NA,RS_GCF_000970205.1
Methanosarcina mazei,RS_GCF_000979655.1,Archaea,5.33,NA,RS_GCF_000970205.1
Methanosarcina mazei,RS_GCF_000341715.1,Archaea,5.33,NA,RS_GCF_000970205.1
Methanosarcina mazei,RS_GCF_000979995.1,Archaea,5.33,NA,RS_GCF_000970205.1
Methanosarcina mazei,RS_GCF_000970205.1,Archaea,5.33,NA,RS_GCF_000970205.1
Methanosarcina siciliae,RS_GCF_000970085.1,Archaea,5.02,NA,RS_GCF_000970085.1
Methanosarcina siciliae,RS_GCF_000970125.1,Archaea,5.02,NA,RS_GCF_000970085.1
Methanosarcina siciliae,RS_GCF_000970145.1,Archaea,5.02,NA,RS_GCF_000970085.1
Methanosarcina spelaei,RS_GCF_002287235.1,Archaea,122,NA,RS_GCF_002287235.1
Methanosarcina thermophila,GB_GCA_002496495.1,Archaea,5,NA,RS_GCF_000969885.1
Methanosarcina thermophila,RS_GCF_900116525.1,Archaea,5,NA,RS_GCF_000969885.1
Methanosarcina thermophila,RS_GCF_000969885.1,Archaea,5,NA,RS_GCF_000969885.1
Methanosarcina thermophila,GB_GCA_001512365.1,Archaea,5,NA,RS_GCF_000969885.1
Methanosarcina thermophila,GB_GCA_012719515.1,Archaea,5,NA,RS_GCF_000969885.1
Methanosarcina vacuolata,GB_GCA_023459075.1,Archaea,5,NA,RS_GCF_000969905.1
Methanosarcina vacuolata,RS_GCF_000969905.1,Archaea,5,NA,RS_GCF_000969905.1
Methanosarcina vacuolata,RS_GCF_000969945.1,Archaea,5,NA,RS_GCF_000969905.1
Methanosarcina vacuolata,RS_GCF_020804205.1,Archaea,5,NA,RS_GCF_000969905.1
Methanosphaera cuniculi,RS_GCF_902494985.1,Archaea,60.5,NA,RS_GCF_003149675.1
Methanosphaera cuniculi,RS_GCF_003149675.1,Archaea,60.5,NA,RS_GCF_003149675.1
Methanosphaera cuniculi,RS_GCF_959604805.1,Archaea,60.5,NA,RS_GCF_003149675.1
Methanosphaera cuniculi,RS_GCF_947597825.1,Archaea,60.5,NA,RS_GCF_003149675.1
Methanosphaera cuniculi,RS_GCF_002287195.1,Archaea,60.5,NA,RS_GCF_003149675.1
Methanosphaera stadtmanae,RS_GCF_938005785.1,Archaea,5.1,NA,RS_GCF_000012545.1
Methanosphaera stadtmanae,RS_GCF_934755265.1,Archaea,5.1,NA,RS_GCF_000012545.1
Methanosphaera stadtmanae,GB_GCA_023445835.1,Archaea,5.1,NA,RS_GCF_000012545.1
Methanosphaera stadtmanae,RS_GCF_003266085.1,Archaea,5.1,NA,RS_GCF_000012545.1
Methanosphaera stadtmanae,GB_GCA_023440905.1,Archaea,5.1,NA,RS_GCF_000012545.1
Methanosphaera stadtmanae,RS_GCF_000012545.1,Archaea,5.1,NA,RS_GCF_000012545.1
Methanosphaerula palustris,RS_GCF_000021965.1,Archaea,19,NA,RS_GCF_000021965.1
Methanospirillum hungatei_A,GB_GCA_003251955.1,Archaea,20.7,NA,GB_GCA_003251955.1
Methanospirillum lacunae,RS_GCF_003173355.1,Archaea,32.2,NA,RS_GCF_003173355.1
Methanospirillum stamsii,RS_GCF_003173335.1,Archaea,1.94,29.9,RS_GCF_003173335.1
Methanothermobacter thermautotrophicus,GB_GCA_013330715.1,Archaea,1,NA,RS_GCF_000008645.1
Methanothermobacter thermautotrophicus,RS_GCF_027555045.1,Archaea,1,NA,RS_GCF_000008645.1
Methanothermobacter thermautotrophicus,RS_GCF_002356395.1,Archaea,1,NA,RS_GCF_000008645.1
Methanothermobacter thermautotrophicus,GB_GCA_013330375.1,Archaea,1,NA,RS_GCF_000008645.1
Methanothermobacter thermautotrophicus,GB_GCA_030018185.1,Archaea,1,NA,RS_GCF_000008645.1
Methanothermobacter thermautotrophicus,RS_GCF_000008645.1,Archaea,1,NA,RS_GCF_000008645.1
Methanothermobacter_A tenebrarum,GB_GCA_029778765.1,Archaea,12,NA,RS_GCF_023167465.1
Methanothermobacter_A tenebrarum,GB_GCA_028694635.1,Archaea,12,NA,RS_GCF_023167465.1
Methanothermobacter_A tenebrarum,RS_GCF_023167465.1,Archaea,12,NA,RS_GCF_023167465.1
Methanothermobacter_A tenebrarum,GB_GCA_030019295.1,Archaea,12,NA,RS_GCF_023167465.1
Methanothermobacter_A tenebrarum,GB_GCA_012840175.1,Archaea,12,NA,RS_GCF_023167465.1
Methanothermococcus thermolithotrophicus,GB_GCA_030156475.1,Archaea,0.917,NA,RS_GCF_946463545.1
Methanothermococcus thermolithotrophicus,RS_GCF_946463545.1,Archaea,0.917,NA,RS_GCF_946463545.1
Methanothermococcus thermolithotrophicus,GB_GCA_002494795.1,Archaea,0.917,NA,RS_GCF_946463545.1
Methanothermococcus thermolithotrophicus,RS_GCF_000376965.1,Archaea,0.917,NA,RS_GCF_946463545.1
Methanothermococcus thermolithotrophicus,RS_GCF_030153405.1,Archaea,0.917,NA,RS_GCF_946463545.1
Methanothermococcus_A aeolicus,RS_GCF_000017185.1,Archaea,1.15,NA,RS_GCF_000017185.1
Methanothermococcus_A aeolicus,RS_GCF_025449255.1,Archaea,1.15,NA,RS_GCF_000017185.1
Methanothermococcus_A okinawensis,RS_GCF_000179575.2,Archaea,0.5,NA,RS_GCF_000179575.2
Methanothermus fervidus,RS_GCF_000166095.1,Archaea,2.82,NA,RS_GCF_000166095.1
Methanothrix soehngenii,GB_GCA_028718625.1,Archaea,65,NA,RS_GCF_000204415.1
Methanothrix soehngenii,RS_GCF_000204415.1,Archaea,65,NA,RS_GCF_000204415.1
Methanothrix soehngenii,GB_GCA_028695655.1,Archaea,65,NA,RS_GCF_000204415.1
Methanothrix soehngenii,GB_GCA_002503445.1,Archaea,65,NA,RS_GCF_000204415.1
Methanothrix soehngenii,GB_GCA_022840505.1,Archaea,65,NA,RS_GCF_000204415.1
Methanothrix_B thermoacetophila,GB_GCA_014361255.1,Archaea,36,NA,RS_GCF_000014945.1
Methanothrix_B thermoacetophila,RS_GCF_000014945.1,Archaea,36,NA,RS_GCF_000014945.1
Methanothrix_B thermoacetophila,RS_GCF_013177915.1,Archaea,36,NA,RS_GCF_000014945.1
Methanotorris formicicus,RS_GCF_000243455.1,Archaea,0.43,NA,RS_GCF_000243455.1
Methanotorris igneus,RS_GCF_000214415.1,Archaea,0.35,NA,RS_GCF_000214415.1
Methermicoccus shengliensis,RS_GCF_000711905.1,Archaea,5,NA,RS_GCF_000711905.1
Methermicoccus shengliensis,GB_GCA_002494745.1,Archaea,5,NA,RS_GCF_000711905.1
Methermicoccus shengliensis,GB_GCA_030446425.1,Archaea,5,NA,RS_GCF_000711905.1
Methermicoccus shengliensis,GB_GCA_001508185.1,Archaea,5,NA,RS_GCF_000711905.1
Methermicoccus shengliensis,GB_GCA_013330515.1,Archaea,5,NA,RS_GCF_000711905.1
Nanoarchaeum equitans,GB_GCA_000008085.1,Archaea,0.75,90,GB_GCA_000008085.1
Natrialba asiatica,RS_GCF_000337555.1,Archaea,2.59,45,RS_GCF_000337555.1
Natrinema pellirubrum,RS_GCF_000230735.2,Archaea,1.87,51,RS_GCF_000230735.2
Natrinema pellirubrum,RS_GCF_000337635.1,Archaea,1.87,51,RS_GCF_000230735.2
Natronobacterium gregoryi,RS_GCF_000230715.2,Archaea,2,47,RS_GCF_000230715.2
Natronobacterium gregoryi,RS_GCF_000337655.1,Archaea,2,47,RS_GCF_000230715.2
Natronobacterium gregoryi,RS_GCF_002855455.1,Archaea,2,47,RS_GCF_000230715.2
Natronobacterium gregoryi,RS_GCF_900114025.1,Archaea,2,47,RS_GCF_000230715.2
Natronococcus occultus,RS_GCF_000328685.1,Archaea,2.77,45,RS_GCF_000328685.1
Natronomonas pharaonis,RS_GCF_000026045.1,Archaea,2.16,40,RS_GCF_000026045.1
Palaeococcus ferrophilus,RS_GCF_000966265.1,Archaea,0.53,83,RS_GCF_000966265.1
Picrophilus oshimae,RS_GCF_000008265.1,Archaea,6,60,RS_GCF_900176435.1
Picrophilus oshimae,RS_GCF_900176435.1,Archaea,6,60,RS_GCF_900176435.1
Pyrobaculum aerophilum,RS_GCF_026414425.1,Archaea,2.97,98,RS_GCF_000007225.1
Pyrobaculum aerophilum,RS_GCF_003400145.1,Archaea,2.97,98,RS_GCF_000007225.1
Pyrobaculum aerophilum,RS_GCF_013329805.1,Archaea,2.97,98,RS_GCF_000007225.1
Pyrobaculum aerophilum,RS_GCF_003400025.1,Archaea,2.97,98,RS_GCF_000007225.1
Pyrobaculum aerophilum,RS_GCF_009888185.1,Archaea,2.97,98,RS_GCF_000007225.1
Pyrobaculum aerophilum,RS_GCF_000007225.1,Archaea,2.97,98,RS_GCF_000007225.1
Pyrobaculum arsenaticum,GB_GCA_026627015.1,Archaea,1.35,95,RS_GCF_000016385.1
Pyrobaculum arsenaticum,RS_GCF_000016385.1,Archaea,1.35,95,RS_GCF_000016385.1
Pyrobaculum arsenaticum,RS_GCF_013414235.1,Archaea,1.35,95,RS_GCF_000016385.1
Pyrobaculum calidifontis,RS_GCF_000015805.1,Archaea,5.82,90,RS_GCF_000015805.1
Pyrobaculum islandicum,RS_GCF_000015205.1,Archaea,4.67,98.9,RS_GCF_000015205.1
Pyrobaculum oguniense,GB_GCA_000247545.1,Archaea,2.73,90.7,GB_GCA_000247545.1
Pyrococcus abyssi,RS_GCF_000195935.2,Archaea,0.55,95.9,RS_GCF_000195935.2
Pyrococcus chitonophagus,RS_GCF_002214605.1,Archaea,1.42,85,RS_GCF_002214605.1
Pyrococcus chitonophagus,RS_GCF_900012635.1,Archaea,1.42,85,RS_GCF_002214605.1
Pyrococcus furiosus,RS_GCF_000007305.1,Archaea,0.62,100,RS_GCF_000007305.1
Pyrococcus furiosus,RS_GCF_000275605.1,Archaea,0.62,100,RS_GCF_000007305.1
Pyrococcus furiosus,RS_GCF_008245085.1,Archaea,0.62,100,RS_GCF_000007305.1
Pyrococcus furiosus,RS_GCF_030153625.1,Archaea,0.62,100,RS_GCF_000007305.1
Pyrococcus horikoshii,RS_GCF_000011105.1,Archaea,0.53,98,RS_GCF_000011105.1
Pyrococcus horikoshii,RS_GCF_013329775.1,Archaea,0.53,98,RS_GCF_000011105.1
Pyrococcus yayanosii,RS_GCF_000215995.1,Archaea,0.83,98,RS_GCF_000215995.1
Pyrolobus fumarii,RS_GCF_000223395.1,Archaea,0.95,105.6,RS_GCF_000223395.1
Staphylothermus hellenicus,RS_GCF_000092465.1,Archaea,2.9,85,RS_GCF_000092465.1
Staphylothermus marinus,RS_GCF_000015945.1,Archaea,4.47,85,RS_GCF_000015945.1
Sulfolobus acidocaldarius_A,GB_GCA_000508305.1,Archaea,4.95,70,GB_GCA_000508305.1
Sulfurisphaera tokodaii,RS_GCF_000011205.1,Archaea,7.4,80,RS_GCF_000011205.1
Sulfurisphaera tokodaii,RS_GCF_013329795.1,Archaea,7.4,80,RS_GCF_000011205.1
Thermocladium modestius,GB_GCA_001315925.1,Archaea,14.93,75,GB_GCA_001315925.1
Thermocladium modestius,RS_GCF_014646535.1,Archaea,14.93,75,GB_GCA_001315925.1
Thermococcus barossii,RS_GCF_002214465.1,Archaea,0.67,82.9,RS_GCF_002214465.1
Thermococcus barossii,RS_GCF_012027515.1,Archaea,0.67,82.9,RS_GCF_002214465.1
Thermococcus celer,GB_GCA_001315845.1,Archaea,0.75,82.9,RS_GCF_002214365.1
Thermococcus celer,RS_GCF_002214365.1,Archaea,0.75,82.9,RS_GCF_002214365.1
Thermococcus celericrescens,RS_GCF_001484195.1,Archaea,0.23,79.8,RS_GCF_001484195.1
